Sample	cat16-46.trees	cat16-46.sequence09_sequence11	cat16-46.sequence01_sequence03_sequence04_sequence14_sequence09_sequence11	cat16-46.sequence01_sequence03_sequence04_sequence14_sequence09_sequence11_sequence02_sequence08_sequence06_sequence13_sequence15	cat16-46.sequence01_sequence03_sequence04_sequence14_sequence09_sequence11_sequence02_sequence08_sequence06_sequence13_sequence15_sequence05_sequence07	cat16-46.sequence01_sequence03_sequence04_sequence14_sequence09_sequence11_sequence02_sequence08_sequence06_sequence13_sequence15_sequence05_sequence07_sequence10_sequence12	cat16-46.sequence01_sequence03_sequence04_sequence14_sequence09_sequence11_sequence02_sequence08_sequence06_sequence13_sequence15_sequence05_sequence07_sequence10_sequence12_sequence16	cat16-46.sequence01_sequence03	cat16-46.sequence02_sequence08	cat16-46.sequence02_sequence08_sequence06	cat16-46.sequence02_sequence08_sequence06_sequence13	cat16-46.sequence02_sequence08_sequence06_sequence13_sequence15	cat16-46.sequence05_sequence07	cat16-46.sequence10_sequence12	cat16-46.sequence01_sequence03_sequence04_sequence14	cat16-46.sequence04_sequence14	
632	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
636	24.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
640	24.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
644	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
648	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
652	24.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
656	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
660	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
664	24.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
668	24.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
672	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
676	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
680	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
684	24.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
688	28.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
692	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
696	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
700	26.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
