Sample	cat16-16.trees	cat16-16.sequence02_sequence07	cat16-16.sequence02_sequence07_sequence09	cat16-16.sequence01_sequence11_sequence13_sequence02_sequence07_sequence09	cat16-16.sequence01_sequence11_sequence13_sequence02_sequence07_sequence09_sequence04_sequence14_sequence08_sequence10	cat16-16.sequence01_sequence11_sequence13_sequence02_sequence07_sequence09_sequence04_sequence14_sequence08_sequence10_sequence03_sequence12_sequence06_sequence05_sequence15_sequence16	cat16-16.sequence04_sequence14	cat16-16.sequence08_sequence10	cat16-16.sequence04_sequence14_sequence08_sequence10	cat16-16.sequence03_sequence12	cat16-16.sequence03_sequence12_sequence06	cat16-16.sequence05_sequence15	cat16-16.sequence03_sequence12_sequence06_sequence05_sequence15	cat16-16.sequence03_sequence12_sequence06_sequence05_sequence15_sequence16	cat16-16.sequence11_sequence13	cat16-16.sequence01_sequence11_sequence13	
460	22.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
464	22.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
468	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
472	22.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
476	22.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	
480	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
484	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
488	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
492	22.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
496	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	
500	26.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	
504	22.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
508	22.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
512	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
516	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
520	24.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	
