Sample	cat16-85.trees	cat16-85.sequence02_sequence10	cat16-85.sequence01_sequence04_sequence13_sequence02_sequence10	cat16-85.sequence03_sequence05	cat16-85.sequence03_sequence05_sequence07	cat16-85.sequence11_sequence14	cat16-85.sequence03_sequence05_sequence07_sequence11_sequence14	cat16-85.sequence03_sequence05_sequence07_sequence11_sequence14_sequence16	cat16-85.sequence06_sequence08	cat16-85.sequence09_sequence15	cat16-85.sequence06_sequence08_sequence09_sequence15	cat16-85.sequence03_sequence05_sequence07_sequence11_sequence14_sequence16_sequence06_sequence08_sequence09_sequence15	cat16-85.sequence04_sequence13	cat16-85.sequence01_sequence04_sequence13	cat16-85.sequence01_sequence04_sequence13_sequence02_sequence10_sequence12	cat16-85.sequence01_sequence04_sequence13_sequence02_sequence10_sequence12_sequence03_sequence05_sequence07_sequence11_sequence14_sequence16_sequence06_sequence08_sequence09_sequence15	
520	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
524	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
528	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
532	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
536	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
540	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
544	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
548	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
552	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
556	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
560	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
564	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
568	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
572	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
