Sample	cat16-28.trees	cat16-28.sequence06_sequence08	cat16-28.sequence06_sequence08_sequence15_sequence16	cat16-28.sequence06_sequence08_sequence15_sequence16_sequence07	cat16-28.sequence01_sequence13_sequence04_sequence06_sequence08_sequence15_sequence16_sequence07	cat16-28.sequence01_sequence13_sequence04_sequence06_sequence08_sequence15_sequence16_sequence07_sequence09_sequence10	cat16-28.sequence01_sequence13_sequence04_sequence06_sequence08_sequence15_sequence16_sequence07_sequence09_sequence10_sequence02_sequence03_sequence12_sequence05_sequence14_sequence11	cat16-28.sequence01_sequence13	cat16-28.sequence15_sequence16	cat16-28.sequence09_sequence10	cat16-28.sequence03_sequence12	cat16-28.sequence03_sequence12_sequence05	cat16-28.sequence02_sequence03_sequence12_sequence05	cat16-28.sequence02_sequence03_sequence12_sequence05_sequence14	cat16-28.sequence02_sequence03_sequence12_sequence05_sequence14_sequence11	cat16-28.sequence01_sequence13_sequence04	
165	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
166	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
167	28.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
168	28.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
169	28.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
170	24.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
171	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
172	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
173	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
174	24.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
175	24.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
176	24.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
177	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
178	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
179	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
