Sample	cat16-62.trees	cat16-62.sequence11_sequence14	cat16-62.sequence02_sequence11_sequence14	cat16-62.sequence02_sequence11_sequence14_sequence16	cat16-62.sequence02_sequence11_sequence14_sequence16_sequence06_sequence08_sequence13	cat16-62.sequence02_sequence11_sequence14_sequence16_sequence06_sequence08_sequence13_sequence04_sequence12	cat16-62.sequence01_sequence03_sequence05_sequence02_sequence11_sequence14_sequence16_sequence06_sequence08_sequence13_sequence04_sequence12	cat16-62.sequence01_sequence03_sequence05_sequence02_sequence11_sequence14_sequence16_sequence06_sequence08_sequence13_sequence04_sequence12_sequence09	cat16-62.sequence01_sequence03_sequence05_sequence02_sequence11_sequence14_sequence16_sequence06_sequence08_sequence13_sequence04_sequence12_sequence09_sequence07_sequence15_sequence10	cat16-62.sequence06_sequence08	cat16-62.sequence06_sequence08_sequence13	cat16-62.sequence04_sequence12	cat16-62.sequence07_sequence15	cat16-62.sequence07_sequence15_sequence10	cat16-62.sequence03_sequence05	cat16-62.sequence01_sequence03_sequence05	
109	26.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
110	26.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
111	26.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
112	28.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
113	26.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
114	28.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
115	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
116	26.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
117	28.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
118	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
119	26.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
120	28.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
121	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
122	28.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
123	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
124	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
125	28.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
126	26.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
