Sample	o.trees	o.trees.clade.0	o.trees.clade.1	o.trees.clade.2	o.trees.clade.3	
376	8.0	1.0	1.0	0.0	1.0	
377	8.0	1.0	1.0	0.0	1.0	
378	6.0	1.0	0.0	0.0	1.0	
379	8.0	1.0	0.0	1.0	1.0	
380	10.0	1.0	1.0	1.0	1.0	
381	10.0	1.0	1.0	1.0	1.0	
382	8.0	1.0	1.0	0.0	1.0	
383	8.0	1.0	1.0	0.0	1.0	
384	6.0	0.0	1.0	0.0	1.0	
385	10.0	1.0	1.0	1.0	1.0	
386	8.0	1.0	1.0	0.0	1.0	
387	8.0	0.0	1.0	1.0	1.0	
388	4.0	0.0	0.0	0.0	1.0	
389	8.0	1.0	1.0	0.0	1.0	
390	2.0	0.0	0.0	0.0	0.0	
391	6.0	1.0	1.0	0.0	0.0	
392	8.0	1.0	1.0	0.0	1.0	
393	4.0	0.0	0.0	0.0	1.0	
394	8.0	1.0	1.0	0.0	1.0	
395	8.0	0.0	1.0	1.0	1.0	
396	4.0	0.0	0.0	1.0	0.0	
397	10.0	1.0	1.0	1.0	1.0	
398	6.0	0.0	0.0	1.0	1.0	
399	8.0	1.0	0.0	1.0	1.0	
400	6.0	0.0	1.0	0.0	1.0	
401	8.0	1.0	1.0	1.0	0.0	
402	6.0	1.0	0.0	0.0	1.0	
403	10.0	1.0	1.0	1.0	1.0	
404	8.0	1.0	1.0	0.0	1.0	
405	6.0	1.0	0.0	0.0	1.0	
406	6.0	1.0	1.0	0.0	0.0	
407	10.0	1.0	1.0	1.0	1.0	
408	6.0	1.0	0.0	0.0	1.0	
409	6.0	0.0	1.0	0.0	1.0	
410	8.0	1.0	1.0	1.0	0.0	
411	6.0	0.0	0.0	1.0	1.0	
412	8.0	1.0	1.0	0.0	1.0	
413	8.0	1.0	1.0	0.0	1.0	
414	4.0	0.0	0.0	0.0	1.0	
415	6.0	1.0	1.0	0.0	0.0	
416	10.0	1.0	1.0	1.0	1.0	
417	10.0	1.0	1.0	1.0	1.0	
418	8.0	1.0	0.0	1.0	1.0	
419	10.0	1.0	1.0	1.0	1.0	
420	2.0	0.0	0.0	0.0	0.0	
421	6.0	1.0	0.0	0.0	1.0	
422	6.0	1.0	1.0	0.0	0.0	
423	6.0	1.0	0.0	1.0	0.0	
424	6.0	0.0	0.0	1.0	1.0	
425	10.0	1.0	1.0	1.0	1.0	
426	6.0	1.0	0.0	0.0	1.0	
427	8.0	1.0	0.0	1.0	1.0	
428	4.0	0.0	0.0	0.0	1.0	
429	6.0	1.0	0.0	0.0	1.0	
430	8.0	1.0	1.0	0.0	1.0	
431	8.0	0.0	1.0	1.0	1.0	
432	8.0	1.0	1.0	0.0	1.0	
433	10.0	1.0	1.0	1.0	1.0	
434	8.0	1.0	1.0	0.0	1.0	
435	10.0	1.0	1.0	1.0	1.0	
436	8.0	1.0	1.0	0.0	1.0	
437	8.0	1.0	0.0	1.0	1.0	
438	6.0	0.0	1.0	0.0	1.0	
439	8.0	1.0	1.0	0.0	1.0	
440	6.0	0.0	0.0	1.0	1.0	
441	6.0	0.0	1.0	0.0	1.0	
442	6.0	1.0	0.0	1.0	0.0	
443	8.0	1.0	1.0	0.0	1.0	
444	6.0	0.0	0.0	1.0	1.0	
445	4.0	0.0	0.0	0.0	1.0	
446	10.0	1.0	1.0	1.0	1.0	
447	8.0	1.0	1.0	0.0	1.0	
448	4.0	0.0	0.0	0.0	1.0	
449	6.0	1.0	1.0	0.0	0.0	
450	6.0	1.0	0.0	0.0	1.0	
451	10.0	1.0	1.0	1.0	1.0	
452	8.0	1.0	1.0	1.0	0.0	
453	10.0	1.0	1.0	1.0	1.0	
454	10.0	1.0	1.0	1.0	1.0	
455	6.0	1.0	0.0	0.0	1.0	
456	4.0	0.0	1.0	0.0	0.0	
457	6.0	1.0	0.0	0.0	1.0	
458	8.0	0.0	1.0	1.0	1.0	
459	8.0	1.0	0.0	1.0	1.0	
460	8.0	1.0	1.0	0.0	1.0	
461	6.0	0.0	0.0	1.0	1.0	
462	8.0	1.0	1.0	0.0	1.0	
463	6.0	1.0	0.0	0.0	1.0	
464	6.0	0.0	0.0	1.0	1.0	
465	4.0	1.0	0.0	0.0	0.0	
466	8.0	1.0	1.0	0.0	1.0	
467	8.0	1.0	1.0	0.0	1.0	
468	4.0	0.0	0.0	1.0	0.0	
469	6.0	1.0	0.0	0.0	1.0	
470	6.0	1.0	1.0	0.0	0.0	
471	2.0	0.0	0.0	0.0	0.0	
472	8.0	1.0	1.0	0.0	1.0	
473	6.0	1.0	0.0	0.0	1.0	
474	8.0	1.0	1.0	0.0	1.0	
475	6.0	0.0	1.0	1.0	0.0	
476	6.0	0.0	0.0	1.0	1.0	
477	8.0	0.0	1.0	1.0	1.0	
478	8.0	1.0	1.0	0.0	1.0	
479	8.0	1.0	1.0	0.0	1.0	
480	8.0	1.0	1.0	1.0	0.0	
481	6.0	0.0	1.0	0.0	1.0	
