Sample	cat16-15.trees	cat16-15.sequence12_sequence09_sequence03	cat16-15.sequence07_sequence09_sequence03_sequence10	cat16-15.sequence04_sequence07_sequence12_sequence09_sequence03_sequence10_sequence08	cat16-15.sequence07_sequence12_sequence10	cat16-15.sequence13_sequence16	cat16-15.sequence13_sequence02	cat16-15.sequence11_sequence13_sequence16_sequence02_sequence08	cat16-15.sequence16_sequence02	cat16-15.sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10	
270	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
271	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
272	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
273	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
274	24.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
275	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
276	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
277	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
278	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
279	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
280	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
281	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
282	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
283	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
284	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
285	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
286	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
287	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
288	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
289	24.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
290	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
291	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
292	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
293	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
294	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
295	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
296	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
297	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
298	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
299	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
300	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
