Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence05_sequence07_sequence02	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	
223	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
224	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
225	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
226	24.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
227	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
228	24.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
229	24.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
230	24.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
231	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
232	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
233	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
234	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
235	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
236	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
237	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
238	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
239	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
240	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
241	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
242	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
243	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
244	24.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
245	26.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
246	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
247	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
248	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
249	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
250	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
251	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
252	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
253	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
254	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
255	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
256	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
257	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
258	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
259	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
260	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
261	24.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
262	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
263	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
264	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
265	24.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
266	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
267	24.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
268	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
269	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
270	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
271	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
272	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
273	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
274	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
275	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
276	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
277	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
278	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
279	24.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
280	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
281	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
282	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
283	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
284	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
285	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
286	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
287	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
288	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
289	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
290	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
291	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
292	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
293	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
294	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
