Sample	cat16-20.trees	cat16-20.sequence05_sequence07_sequence02	cat16-20.sequence11_sequence13_sequence06_sequence08	cat16-20.sequence16_sequence06	cat16-20.sequence11_sequence13_sequence16_sequence08	cat16-20.sequence01_sequence02_sequence03	cat16-20.sequence01_sequence05_sequence07_sequence03	
364	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
365	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
366	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
367	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
368	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
369	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
370	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
371	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
372	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
373	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
374	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
375	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
376	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
377	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
378	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
379	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
380	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
381	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
382	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
383	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
384	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
385	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
386	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
387	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
388	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
389	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
390	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
391	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
392	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
393	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
394	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
395	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
396	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
397	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
398	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
399	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
400	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
401	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
402	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
403	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
404	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
405	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
406	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
407	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
408	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
409	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
410	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
411	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
412	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
413	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
414	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
415	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
416	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
417	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
418	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
419	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
420	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
421	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
422	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
423	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
424	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
425	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
426	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
427	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
428	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
429	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
430	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
431	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
