Sample	cat16-62.trees	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-62.sequence01_sequence05_sequence09_sequence03	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-62.sequence07_sequence15	cat16-62.sequence14_sequence11_sequence16	cat16-62.sequence14_sequence11_sequence02	cat16-62.sequence16_sequence02	cat16-62.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence06_sequence08	
161	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
162	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
163	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
164	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
165	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
166	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
167	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
168	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
169	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
170	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
171	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
172	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
173	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
174	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
175	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
176	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
177	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
178	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
179	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
180	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
181	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
182	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
183	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
184	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
185	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
186	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
187	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
188	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
189	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
190	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
191	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
192	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
193	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
194	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
195	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
196	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
197	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
198	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
199	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
200	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
201	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
202	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
203	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
204	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
205	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
206	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
207	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
208	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
209	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
210	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
211	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
212	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
213	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
214	24.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
215	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
216	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
217	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
218	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
219	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
220	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
221	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
222	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
223	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
224	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
225	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
226	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
227	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
228	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
229	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
230	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
231	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
232	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
233	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
234	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
235	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
236	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
237	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
238	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
239	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
240	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
241	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
242	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
243	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
244	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
245	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
246	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
247	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
248	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
249	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
250	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
251	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
252	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
253	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
254	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
255	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
256	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
257	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
258	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
259	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
260	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
261	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
262	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
263	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
264	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
265	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
266	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
267	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
268	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
269	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
270	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
271	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
272	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
273	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
274	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
275	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
