Sample	cat16-81.trees	cat16-81.sequence01_sequence05_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence12_sequence13_sequence16	cat16-81.sequence01_sequence12_sequence13_sequence16_sequence02	cat16-81.sequence01_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-81.sequence05_sequence14_sequence11_sequence06_sequence08	cat16-81.sequence01_sequence12_sequence13_sequence02	cat16-81.sequence16_sequence02	
227	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
228	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
229	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
230	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
231	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
232	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
233	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
234	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
235	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
236	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
237	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
238	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
239	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
240	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
241	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
242	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
243	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
244	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
245	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
246	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
247	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
248	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
249	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
250	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
251	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
252	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
253	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
254	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
255	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
256	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
257	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
258	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
259	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
260	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
261	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
262	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
263	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
264	28.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	
265	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
266	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
267	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
268	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
269	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
270	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
271	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
272	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
273	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
274	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
275	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
276	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
277	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
278	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
279	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
280	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
281	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
282	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
283	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
284	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
285	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
286	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
287	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
288	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
289	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
290	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
291	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
292	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
293	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
294	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
295	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
296	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
297	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
298	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
299	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
300	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
301	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
302	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
303	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
304	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
305	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
306	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
307	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
308	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
309	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
310	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
311	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
312	24.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
313	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
314	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
315	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
316	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
317	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
318	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
319	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
320	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
321	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
