Sample	cat16-31.trees	cat16-31.sequence04_sequence14_sequence12_sequence16_sequence02_sequence08	cat16-31.sequence01_sequence05_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-31.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-31.sequence14_sequence16_sequence02	
304	28.0	1.0	0.0	0.0	1.0	
305	30.0	0.0	0.0	1.0	1.0	
306	28.0	1.0	0.0	0.0	1.0	
307	28.0	0.0	1.0	0.0	1.0	
308	30.0	0.0	0.0	1.0	1.0	
309	30.0	0.0	0.0	1.0	1.0	
310	28.0	0.0	1.0	0.0	1.0	
311	28.0	0.0	1.0	0.0	1.0	
312	28.0	0.0	1.0	0.0	1.0	
313	30.0	0.0	0.0	1.0	1.0	
314	28.0	0.0	1.0	0.0	1.0	
315	28.0	0.0	1.0	0.0	1.0	
316	28.0	0.0	1.0	0.0	1.0	
317	28.0	0.0	1.0	0.0	1.0	
318	28.0	0.0	1.0	0.0	1.0	
319	30.0	0.0	0.0	1.0	1.0	
320	30.0	0.0	0.0	1.0	1.0	
321	28.0	1.0	0.0	0.0	1.0	
322	28.0	0.0	1.0	0.0	1.0	
323	28.0	0.0	1.0	0.0	1.0	
324	28.0	0.0	1.0	0.0	1.0	
325	28.0	0.0	1.0	0.0	1.0	
326	30.0	0.0	0.0	1.0	1.0	
327	28.0	1.0	0.0	0.0	1.0	
328	28.0	1.0	0.0	0.0	1.0	
329	30.0	0.0	0.0	1.0	1.0	
330	28.0	1.0	0.0	0.0	1.0	
331	30.0	0.0	0.0	1.0	1.0	
332	28.0	0.0	1.0	0.0	1.0	
333	30.0	0.0	0.0	1.0	1.0	
334	28.0	0.0	1.0	0.0	1.0	
335	28.0	0.0	1.0	0.0	1.0	
336	30.0	0.0	0.0	1.0	1.0	
337	30.0	0.0	0.0	1.0	1.0	
338	28.0	0.0	1.0	0.0	1.0	
339	28.0	0.0	1.0	0.0	1.0	
340	28.0	1.0	0.0	0.0	1.0	
341	28.0	0.0	1.0	0.0	1.0	
342	28.0	1.0	0.0	0.0	1.0	
343	28.0	0.0	1.0	0.0	1.0	
344	28.0	0.0	1.0	0.0	1.0	
345	28.0	0.0	1.0	0.0	1.0	
346	28.0	0.0	1.0	0.0	1.0	
347	30.0	0.0	0.0	1.0	1.0	
348	30.0	0.0	0.0	1.0	1.0	
349	30.0	0.0	0.0	1.0	1.0	
350	30.0	0.0	0.0	1.0	1.0	
351	28.0	1.0	0.0	0.0	1.0	
352	30.0	0.0	0.0	1.0	1.0	
