Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
249	28.0	1.0	1.0	0.0	1.0	0.0	
250	30.0	1.0	1.0	1.0	0.0	0.0	
251	30.0	1.0	1.0	1.0	0.0	0.0	
252	30.0	1.0	1.0	1.0	0.0	0.0	
253	28.0	1.0	1.0	0.0	0.0	1.0	
254	28.0	1.0	1.0	0.0	1.0	0.0	
255	28.0	1.0	1.0	0.0	1.0	0.0	
256	28.0	1.0	1.0	0.0	1.0	0.0	
257	28.0	1.0	1.0	0.0	1.0	0.0	
258	30.0	1.0	1.0	1.0	0.0	0.0	
259	28.0	1.0	1.0	0.0	1.0	0.0	
260	28.0	1.0	1.0	0.0	1.0	0.0	
261	28.0	1.0	1.0	0.0	1.0	0.0	
262	30.0	1.0	1.0	1.0	0.0	0.0	
263	30.0	1.0	1.0	1.0	0.0	0.0	
264	30.0	1.0	1.0	1.0	0.0	0.0	
265	28.0	1.0	1.0	0.0	1.0	0.0	
266	28.0	1.0	1.0	0.0	1.0	0.0	
267	28.0	1.0	1.0	0.0	1.0	0.0	
268	28.0	1.0	1.0	0.0	1.0	0.0	
269	28.0	1.0	1.0	0.0	1.0	0.0	
270	28.0	1.0	1.0	0.0	1.0	0.0	
271	28.0	1.0	1.0	0.0	1.0	0.0	
272	28.0	1.0	1.0	0.0	1.0	0.0	
273	28.0	1.0	1.0	0.0	1.0	0.0	
274	28.0	1.0	1.0	0.0	1.0	0.0	
275	30.0	1.0	1.0	1.0	0.0	0.0	
276	28.0	1.0	1.0	0.0	0.0	1.0	
277	28.0	1.0	1.0	0.0	1.0	0.0	
278	30.0	1.0	1.0	1.0	0.0	0.0	
279	28.0	1.0	1.0	0.0	1.0	0.0	
280	28.0	1.0	1.0	0.0	1.0	0.0	
281	28.0	1.0	1.0	0.0	1.0	0.0	
282	30.0	1.0	1.0	1.0	0.0	0.0	
283	28.0	1.0	1.0	0.0	0.0	1.0	
284	28.0	1.0	1.0	0.0	1.0	0.0	
285	30.0	1.0	1.0	1.0	0.0	0.0	
286	30.0	1.0	1.0	1.0	0.0	0.0	
287	28.0	1.0	1.0	0.0	1.0	0.0	
288	28.0	1.0	1.0	0.0	1.0	0.0	
289	28.0	1.0	1.0	0.0	1.0	0.0	
290	28.0	1.0	1.0	0.0	1.0	0.0	
291	28.0	1.0	1.0	0.0	1.0	0.0	
292	28.0	1.0	1.0	0.0	0.0	1.0	
293	28.0	1.0	1.0	0.0	0.0	1.0	
294	30.0	1.0	1.0	1.0	0.0	0.0	
295	30.0	1.0	1.0	1.0	0.0	0.0	
296	28.0	1.0	1.0	0.0	1.0	0.0	
297	28.0	1.0	1.0	0.0	1.0	0.0	
298	28.0	1.0	1.0	0.0	1.0	0.0	
299	28.0	1.0	1.0	0.0	1.0	0.0	
300	30.0	1.0	1.0	1.0	0.0	0.0	
301	28.0	1.0	1.0	0.0	0.0	1.0	
302	28.0	1.0	1.0	0.0	1.0	0.0	
303	28.0	1.0	1.0	0.0	1.0	0.0	
304	28.0	1.0	1.0	0.0	1.0	0.0	
305	30.0	1.0	1.0	1.0	0.0	0.0	
306	28.0	1.0	1.0	0.0	1.0	0.0	
307	28.0	1.0	1.0	0.0	1.0	0.0	
308	30.0	1.0	1.0	1.0	0.0	0.0	
309	28.0	1.0	1.0	0.0	1.0	0.0	
310	28.0	1.0	1.0	0.0	1.0	0.0	
311	28.0	1.0	1.0	0.0	1.0	0.0	
312	28.0	1.0	1.0	0.0	1.0	0.0	
313	28.0	1.0	1.0	0.0	1.0	0.0	
314	28.0	1.0	1.0	0.0	1.0	0.0	
315	28.0	1.0	1.0	0.0	1.0	0.0	
316	30.0	1.0	1.0	1.0	0.0	0.0	
317	28.0	1.0	1.0	0.0	1.0	0.0	
318	28.0	1.0	1.0	0.0	1.0	0.0	
319	30.0	1.0	1.0	1.0	0.0	0.0	
320	28.0	1.0	1.0	0.0	1.0	0.0	
321	30.0	1.0	1.0	1.0	0.0	0.0	
322	28.0	1.0	1.0	0.0	1.0	0.0	
323	28.0	1.0	1.0	0.0	1.0	0.0	
324	30.0	1.0	1.0	1.0	0.0	0.0	
325	28.0	1.0	1.0	0.0	1.0	0.0	
326	30.0	1.0	1.0	1.0	0.0	0.0	
327	28.0	1.0	1.0	0.0	1.0	0.0	
328	28.0	1.0	1.0	0.0	1.0	0.0	
329	28.0	1.0	1.0	0.0	0.0	1.0	
330	30.0	1.0	1.0	1.0	0.0	0.0	
