Sample	cat16-72.trees	cat16-72.sequence01_sequence07_sequence16_sequence09_sequence08	cat16-72.sequence04_sequence14_sequence11_sequence12_sequence13_sequence03_sequence10_sequence15	cat16-72.sequence01_sequence05_sequence14_sequence07_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-72.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
466	28.0	1.0	0.0	1.0	0.0	
467	28.0	1.0	1.0	0.0	0.0	
468	28.0	1.0	1.0	0.0	0.0	
469	28.0	1.0	0.0	1.0	0.0	
470	28.0	1.0	1.0	0.0	0.0	
471	28.0	1.0	0.0	1.0	0.0	
472	28.0	1.0	1.0	0.0	0.0	
473	28.0	1.0	1.0	0.0	0.0	
474	28.0	1.0	0.0	1.0	0.0	
475	30.0	1.0	0.0	0.0	1.0	
476	28.0	1.0	0.0	1.0	0.0	
477	28.0	1.0	1.0	0.0	0.0	
478	28.0	1.0	1.0	0.0	0.0	
479	28.0	1.0	1.0	0.0	0.0	
480	28.0	1.0	1.0	0.0	0.0	
481	28.0	1.0	0.0	1.0	0.0	
482	28.0	1.0	0.0	1.0	0.0	
483	28.0	1.0	1.0	0.0	0.0	
484	28.0	1.0	1.0	0.0	0.0	
485	28.0	1.0	1.0	0.0	0.0	
486	28.0	1.0	0.0	1.0	0.0	
487	28.0	1.0	1.0	0.0	0.0	
488	28.0	1.0	0.0	1.0	0.0	
489	28.0	1.0	0.0	1.0	0.0	
490	30.0	1.0	0.0	0.0	1.0	
491	30.0	1.0	0.0	0.0	1.0	
492	30.0	1.0	0.0	0.0	1.0	
493	28.0	1.0	1.0	0.0	0.0	
494	30.0	1.0	0.0	0.0	1.0	
495	28.0	1.0	1.0	0.0	0.0	
496	28.0	1.0	1.0	0.0	0.0	
497	28.0	1.0	1.0	0.0	0.0	
498	28.0	1.0	0.0	1.0	0.0	
499	28.0	1.0	1.0	0.0	0.0	
500	28.0	1.0	0.0	1.0	0.0	
501	28.0	1.0	0.0	1.0	0.0	
502	30.0	1.0	0.0	0.0	1.0	
503	30.0	1.0	0.0	0.0	1.0	
504	28.0	1.0	0.0	1.0	0.0	
505	30.0	1.0	0.0	0.0	1.0	
506	28.0	1.0	0.0	1.0	0.0	
507	30.0	1.0	0.0	0.0	1.0	
508	30.0	1.0	0.0	0.0	1.0	
509	28.0	1.0	0.0	1.0	0.0	
510	30.0	1.0	0.0	0.0	1.0	
511	30.0	1.0	0.0	0.0	1.0	
512	30.0	1.0	0.0	0.0	1.0	
513	28.0	1.0	0.0	1.0	0.0	
514	28.0	1.0	1.0	0.0	0.0	
515	28.0	1.0	1.0	0.0	0.0	
