Sample	cat16-0.trees	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16	cat16-0.sequence01_sequence05_sequence04_sequence14	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09	cat16-0.sequence03_sequence10	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence08_sequence15	cat16-0.sequence03_sequence06	cat16-0.sequence10_sequence06	
265	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
266	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
267	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
268	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
269	26.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
270	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
271	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
272	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
273	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
274	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
275	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
276	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
277	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
278	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
279	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
280	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
281	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
282	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
283	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
284	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
