Sample	cat16-26.trees	cat16-26.sequence11_sequence12_sequence09	cat16-26.sequence14_sequence13_sequence16_sequence03_sequence06_sequence15	cat16-26.sequence01_sequence12	cat16-26.sequence14_sequence13_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-26.sequence16_sequence02_sequence03_sequence10_sequence08	
214	28.0	0.0	1.0	1.0	0.0	0.0	
215	28.0	1.0	0.0	0.0	1.0	0.0	
216	28.0	1.0	0.0	0.0	0.0	1.0	
217	28.0	1.0	0.0	0.0	1.0	0.0	
218	28.0	1.0	0.0	0.0	0.0	1.0	
219	28.0	0.0	1.0	1.0	0.0	0.0	
220	26.0	0.0	0.0	1.0	0.0	1.0	
221	26.0	0.0	0.0	1.0	0.0	1.0	
222	28.0	1.0	0.0	0.0	1.0	0.0	
223	26.0	0.0	0.0	1.0	0.0	1.0	
224	28.0	0.0	1.0	1.0	0.0	0.0	
225	28.0	1.0	0.0	0.0	0.0	1.0	
226	30.0	1.0	1.0	0.0	0.0	0.0	
227	26.0	0.0	0.0	1.0	1.0	0.0	
228	28.0	1.0	0.0	0.0	1.0	0.0	
229	28.0	1.0	0.0	0.0	0.0	1.0	
230	28.0	1.0	0.0	0.0	0.0	1.0	
231	30.0	1.0	1.0	0.0	0.0	0.0	
232	28.0	1.0	0.0	0.0	1.0	0.0	
233	28.0	1.0	0.0	0.0	0.0	1.0	
234	26.0	0.0	0.0	1.0	1.0	0.0	
235	30.0	1.0	1.0	0.0	0.0	0.0	
236	30.0	1.0	1.0	0.0	0.0	0.0	
237	30.0	1.0	1.0	0.0	0.0	0.0	
238	30.0	1.0	1.0	0.0	0.0	0.0	
239	28.0	1.0	0.0	0.0	1.0	0.0	
240	30.0	1.0	1.0	0.0	0.0	0.0	
241	26.0	0.0	0.0	1.0	1.0	0.0	
242	28.0	1.0	0.0	0.0	1.0	0.0	
243	28.0	1.0	0.0	0.0	1.0	0.0	
244	30.0	1.0	1.0	0.0	0.0	0.0	
245	30.0	1.0	1.0	0.0	0.0	0.0	
246	28.0	1.0	0.0	0.0	0.0	1.0	
247	30.0	1.0	1.0	0.0	0.0	0.0	
248	26.0	0.0	0.0	1.0	0.0	1.0	
249	28.0	1.0	0.0	0.0	0.0	1.0	
250	28.0	1.0	0.0	0.0	0.0	1.0	
251	30.0	1.0	1.0	0.0	0.0	0.0	
252	28.0	1.0	0.0	0.0	1.0	0.0	
253	26.0	0.0	0.0	1.0	0.0	1.0	
254	28.0	1.0	0.0	0.0	1.0	0.0	
255	30.0	1.0	1.0	0.0	0.0	0.0	
256	26.0	0.0	0.0	1.0	0.0	1.0	
257	28.0	1.0	0.0	0.0	1.0	0.0	
258	28.0	1.0	0.0	0.0	0.0	1.0	
259	26.0	0.0	0.0	1.0	0.0	1.0	
260	28.0	1.0	0.0	0.0	1.0	0.0	
261	28.0	1.0	0.0	0.0	1.0	0.0	
262	28.0	1.0	0.0	0.0	0.0	1.0	
263	28.0	0.0	1.0	1.0	0.0	0.0	
264	30.0	1.0	1.0	0.0	0.0	0.0	
265	28.0	1.0	0.0	0.0	0.0	1.0	
266	30.0	1.0	1.0	0.0	0.0	0.0	
267	30.0	1.0	1.0	0.0	0.0	0.0	
268	30.0	1.0	1.0	0.0	0.0	0.0	
269	30.0	1.0	1.0	0.0	0.0	0.0	
270	26.0	0.0	0.0	1.0	0.0	1.0	
271	28.0	0.0	1.0	1.0	0.0	0.0	
272	30.0	1.0	1.0	0.0	0.0	0.0	
273	28.0	1.0	0.0	0.0	0.0	1.0	
274	26.0	0.0	0.0	1.0	0.0	1.0	
275	30.0	1.0	1.0	0.0	0.0	0.0	
276	26.0	0.0	0.0	1.0	0.0	1.0	
277	28.0	1.0	0.0	0.0	0.0	1.0	
278	28.0	1.0	0.0	0.0	0.0	1.0	
279	26.0	0.0	0.0	1.0	1.0	0.0	
280	28.0	1.0	0.0	0.0	0.0	1.0	
281	26.0	0.0	0.0	1.0	0.0	1.0	
282	28.0	0.0	1.0	1.0	0.0	0.0	
283	28.0	0.0	1.0	1.0	0.0	0.0	
284	30.0	1.0	1.0	0.0	0.0	0.0	
285	28.0	1.0	0.0	0.0	0.0	1.0	
286	28.0	0.0	1.0	1.0	0.0	0.0	
287	28.0	1.0	0.0	0.0	0.0	1.0	
288	30.0	1.0	1.0	0.0	0.0	0.0	
289	28.0	1.0	0.0	0.0	0.0	1.0	
290	28.0	1.0	0.0	0.0	0.0	1.0	
291	26.0	0.0	0.0	1.0	1.0	0.0	
292	30.0	1.0	1.0	0.0	0.0	0.0	
293	30.0	1.0	1.0	0.0	0.0	0.0	
294	28.0	1.0	0.0	0.0	0.0	1.0	
295	28.0	0.0	1.0	1.0	0.0	0.0	
296	26.0	0.0	0.0	1.0	1.0	0.0	
297	28.0	1.0	0.0	0.0	1.0	0.0	
298	30.0	1.0	1.0	0.0	0.0	0.0	
299	28.0	1.0	0.0	0.0	0.0	1.0	
300	28.0	1.0	0.0	0.0	1.0	0.0	
301	28.0	1.0	0.0	0.0	0.0	1.0	
302	28.0	1.0	0.0	0.0	1.0	0.0	
303	28.0	1.0	0.0	0.0	1.0	0.0	
304	28.0	1.0	0.0	0.0	1.0	0.0	
305	28.0	1.0	0.0	0.0	0.0	1.0	
306	26.0	0.0	0.0	1.0	1.0	0.0	
307	26.0	0.0	0.0	1.0	0.0	1.0	
308	28.0	1.0	0.0	0.0	0.0	1.0	
309	28.0	1.0	0.0	0.0	0.0	1.0	
310	26.0	0.0	0.0	1.0	0.0	1.0	
311	28.0	1.0	0.0	0.0	0.0	1.0	
312	28.0	1.0	0.0	0.0	1.0	0.0	
313	26.0	0.0	0.0	1.0	0.0	1.0	
314	30.0	1.0	1.0	0.0	0.0	0.0	
315	30.0	1.0	1.0	0.0	0.0	0.0	
316	30.0	1.0	1.0	0.0	0.0	0.0	
317	28.0	1.0	0.0	0.0	0.0	1.0	
318	30.0	1.0	1.0	0.0	0.0	0.0	
319	26.0	0.0	0.0	1.0	0.0	1.0	
320	30.0	1.0	1.0	0.0	0.0	0.0	
321	30.0	1.0	1.0	0.0	0.0	0.0	
322	28.0	1.0	0.0	0.0	1.0	0.0	
323	28.0	1.0	0.0	0.0	1.0	0.0	
324	28.0	1.0	0.0	0.0	0.0	1.0	
325	28.0	1.0	0.0	0.0	1.0	0.0	
326	30.0	1.0	1.0	0.0	0.0	0.0	
327	30.0	1.0	1.0	0.0	0.0	0.0	
328	26.0	0.0	0.0	1.0	1.0	0.0	
329	28.0	1.0	0.0	0.0	0.0	1.0	
330	30.0	1.0	1.0	0.0	0.0	0.0	
331	28.0	1.0	0.0	0.0	1.0	0.0	
332	28.0	1.0	0.0	0.0	1.0	0.0	
333	30.0	1.0	1.0	0.0	0.0	0.0	
334	28.0	1.0	0.0	0.0	0.0	1.0	
335	28.0	0.0	1.0	1.0	0.0	0.0	
336	28.0	1.0	0.0	0.0	0.0	1.0	
337	30.0	1.0	1.0	0.0	0.0	0.0	
338	30.0	1.0	1.0	0.0	0.0	0.0	
339	28.0	1.0	0.0	0.0	0.0	1.0	
340	28.0	1.0	0.0	0.0	0.0	1.0	
341	30.0	1.0	1.0	0.0	0.0	0.0	
342	30.0	1.0	1.0	0.0	0.0	0.0	
343	26.0	0.0	0.0	1.0	1.0	0.0	
344	28.0	1.0	0.0	0.0	1.0	0.0	
345	30.0	1.0	1.0	0.0	0.0	0.0	
346	30.0	1.0	1.0	0.0	0.0	0.0	
347	28.0	1.0	0.0	0.0	0.0	1.0	
348	30.0	1.0	1.0	0.0	0.0	0.0	
349	28.0	1.0	0.0	0.0	1.0	0.0	
350	28.0	1.0	0.0	0.0	0.0	1.0	
351	26.0	0.0	0.0	1.0	1.0	0.0	
352	26.0	0.0	0.0	1.0	0.0	1.0	
353	28.0	1.0	0.0	0.0	0.0	1.0	
354	28.0	0.0	1.0	1.0	0.0	0.0	
355	26.0	0.0	0.0	1.0	0.0	1.0	
356	28.0	1.0	0.0	0.0	1.0	0.0	
357	28.0	1.0	0.0	0.0	0.0	1.0	
358	28.0	0.0	1.0	1.0	0.0	0.0	
359	28.0	1.0	0.0	0.0	0.0	1.0	
360	28.0	1.0	0.0	0.0	0.0	1.0	
361	30.0	1.0	1.0	0.0	0.0	0.0	
362	30.0	1.0	1.0	0.0	0.0	0.0	
363	28.0	0.0	1.0	1.0	0.0	0.0	
364	28.0	1.0	0.0	0.0	0.0	1.0	
365	28.0	1.0	0.0	0.0	1.0	0.0	
366	28.0	1.0	0.0	0.0	1.0	0.0	
367	28.0	1.0	0.0	0.0	1.0	0.0	
368	28.0	1.0	0.0	0.0	1.0	0.0	
369	28.0	1.0	0.0	0.0	1.0	0.0	
370	30.0	1.0	1.0	0.0	0.0	0.0	
371	26.0	0.0	0.0	1.0	0.0	1.0	
372	30.0	1.0	1.0	0.0	0.0	0.0	
373	30.0	1.0	1.0	0.0	0.0	0.0	
374	28.0	1.0	0.0	0.0	1.0	0.0	
375	30.0	1.0	1.0	0.0	0.0	0.0	
376	28.0	1.0	0.0	0.0	0.0	1.0	
377	28.0	0.0	1.0	1.0	0.0	0.0	
378	28.0	1.0	0.0	0.0	1.0	0.0	
379	26.0	0.0	0.0	1.0	0.0	1.0	
380	28.0	1.0	0.0	0.0	0.0	1.0	
381	28.0	0.0	1.0	1.0	0.0	0.0	
382	28.0	1.0	0.0	0.0	0.0	1.0	
383	30.0	1.0	1.0	0.0	0.0	0.0	
384	30.0	1.0	1.0	0.0	0.0	0.0	
385	30.0	1.0	1.0	0.0	0.0	0.0	
386	30.0	1.0	1.0	0.0	0.0	0.0	
387	28.0	1.0	0.0	0.0	0.0	1.0	
388	26.0	0.0	0.0	1.0	0.0	1.0	
389	30.0	1.0	1.0	0.0	0.0	0.0	
390	30.0	1.0	1.0	0.0	0.0	0.0	
391	28.0	1.0	0.0	0.0	0.0	1.0	
392	26.0	0.0	0.0	1.0	0.0	1.0	
393	28.0	0.0	1.0	1.0	0.0	0.0	
394	30.0	1.0	1.0	0.0	0.0	0.0	
395	28.0	1.0	0.0	0.0	0.0	1.0	
396	28.0	1.0	0.0	0.0	0.0	1.0	
397	30.0	1.0	1.0	0.0	0.0	0.0	
398	26.0	0.0	0.0	1.0	0.0	1.0	
399	30.0	1.0	1.0	0.0	0.0	0.0	
400	28.0	1.0	0.0	0.0	0.0	1.0	
401	30.0	1.0	1.0	0.0	0.0	0.0	
402	28.0	1.0	0.0	0.0	0.0	1.0	
403	26.0	0.0	0.0	0.0	1.0	0.0	
404	28.0	1.0	0.0	0.0	0.0	1.0	
405	30.0	1.0	1.0	0.0	0.0	0.0	
406	28.0	0.0	1.0	1.0	0.0	0.0	
407	26.0	0.0	0.0	1.0	0.0	1.0	
408	30.0	1.0	1.0	0.0	0.0	0.0	
409	30.0	1.0	1.0	0.0	0.0	0.0	
410	30.0	1.0	1.0	0.0	0.0	0.0	
411	28.0	0.0	1.0	1.0	0.0	0.0	
412	30.0	1.0	1.0	0.0	0.0	0.0	
413	26.0	0.0	0.0	1.0	1.0	0.0	
414	28.0	1.0	0.0	0.0	0.0	1.0	
415	26.0	0.0	0.0	1.0	0.0	1.0	
416	26.0	0.0	0.0	1.0	1.0	0.0	
417	26.0	0.0	0.0	1.0	1.0	0.0	
418	28.0	1.0	0.0	0.0	1.0	0.0	
419	30.0	1.0	1.0	0.0	0.0	0.0	
420	28.0	1.0	0.0	0.0	0.0	1.0	
421	28.0	0.0	1.0	1.0	0.0	0.0	
422	28.0	1.0	0.0	0.0	0.0	1.0	
423	28.0	1.0	0.0	0.0	1.0	0.0	
424	30.0	1.0	1.0	0.0	0.0	0.0	
425	28.0	1.0	0.0	0.0	0.0	1.0	
426	28.0	1.0	0.0	0.0	1.0	0.0	
427	26.0	0.0	0.0	1.0	0.0	1.0	
428	30.0	1.0	1.0	0.0	0.0	0.0	
429	26.0	0.0	0.0	1.0	0.0	1.0	
430	28.0	1.0	0.0	0.0	0.0	1.0	
431	30.0	1.0	1.0	0.0	0.0	0.0	
432	30.0	1.0	1.0	0.0	0.0	0.0	
433	30.0	1.0	1.0	0.0	0.0	0.0	
434	30.0	1.0	1.0	0.0	0.0	0.0	
435	28.0	0.0	1.0	1.0	0.0	0.0	
436	30.0	1.0	1.0	0.0	0.0	0.0	
437	30.0	1.0	1.0	0.0	0.0	0.0	
438	26.0	0.0	0.0	1.0	1.0	0.0	
439	28.0	1.0	0.0	0.0	1.0	0.0	
440	30.0	1.0	1.0	0.0	0.0	0.0	
441	26.0	0.0	0.0	1.0	0.0	1.0	
442	28.0	1.0	0.0	0.0	1.0	0.0	
443	28.0	1.0	0.0	0.0	0.0	1.0	
444	28.0	1.0	0.0	0.0	1.0	0.0	
445	30.0	1.0	1.0	0.0	0.0	0.0	
446	28.0	1.0	0.0	0.0	0.0	1.0	
447	28.0	1.0	0.0	0.0	0.0	1.0	
448	28.0	1.0	0.0	0.0	0.0	1.0	
449	30.0	1.0	1.0	0.0	0.0	0.0	
450	30.0	1.0	1.0	0.0	0.0	0.0	
451	30.0	1.0	1.0	0.0	0.0	0.0	
452	28.0	1.0	0.0	0.0	1.0	0.0	
453	26.0	0.0	0.0	1.0	1.0	0.0	
454	28.0	1.0	0.0	0.0	0.0	1.0	
455	26.0	0.0	0.0	1.0	0.0	1.0	
456	30.0	1.0	1.0	0.0	0.0	0.0	
457	28.0	1.0	0.0	0.0	0.0	1.0	
458	28.0	1.0	0.0	0.0	0.0	1.0	
459	26.0	0.0	0.0	1.0	0.0	1.0	
460	26.0	0.0	0.0	1.0	0.0	1.0	
461	28.0	1.0	0.0	0.0	0.0	1.0	
462	28.0	1.0	0.0	0.0	0.0	1.0	
463	28.0	1.0	0.0	0.0	0.0	1.0	
464	28.0	1.0	0.0	0.0	1.0	0.0	
465	30.0	1.0	1.0	0.0	0.0	0.0	
466	30.0	1.0	1.0	0.0	0.0	0.0	
467	28.0	1.0	0.0	0.0	0.0	1.0	
468	26.0	0.0	0.0	1.0	1.0	0.0	
469	28.0	0.0	1.0	1.0	0.0	0.0	
470	30.0	1.0	1.0	0.0	0.0	0.0	
