Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
146	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
147	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
148	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
149	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
150	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
151	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
152	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
153	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
154	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
155	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
156	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
157	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
158	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
159	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
160	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
161	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
162	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
163	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
164	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
165	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
166	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
167	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
168	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
169	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
170	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
171	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
172	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
173	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
174	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
175	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
176	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
177	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
178	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
179	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
180	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
