Sample	cat16-61.trees	cat16-61.sequence16_sequence09_sequence10_sequence08_sequence15	cat16-61.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence06	cat16-61.sequence01_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-61.sequence13_sequence02_sequence09_sequence03_sequence15	cat16-61.sequence13_sequence16_sequence02_sequence03_sequence10_sequence08	cat16-61.sequence04_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
176	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
177	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
178	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
179	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
180	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
181	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
182	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
183	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
184	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
185	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
186	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
187	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
188	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
189	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
190	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
191	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
192	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
193	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
194	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
195	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
196	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
197	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
198	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
199	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
200	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
201	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
202	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
203	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
204	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
205	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
206	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
207	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
208	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
209	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
210	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
211	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
212	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
213	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
214	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
215	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
216	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
217	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
218	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
219	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
220	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
221	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
222	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
223	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
224	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
225	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
226	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
227	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
228	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
229	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
230	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
231	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
232	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
233	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
234	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
235	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
236	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
237	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
238	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
239	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
240	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
241	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
242	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
243	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
244	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
245	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
246	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
247	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
248	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
249	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
250	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
251	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
252	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
253	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
254	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
255	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
256	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
257	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
258	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
259	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
260	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
261	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
262	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
263	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
264	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
265	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
266	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
267	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
268	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
269	26.0	1.0	1.0	0.0	0.0	0.0	0.0	
270	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
271	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
272	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
273	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
274	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
275	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
276	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
277	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
278	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
279	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
280	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
281	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
282	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
283	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
284	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
285	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
286	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
287	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
288	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
289	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
290	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
291	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
292	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
293	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
294	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
295	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
296	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
297	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
298	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
299	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
300	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
301	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
302	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
303	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
304	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
305	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
306	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
307	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
308	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
309	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
310	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
311	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
312	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
313	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
314	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
315	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
316	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
317	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
318	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
319	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
320	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
321	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
322	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
323	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
324	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
325	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
326	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
327	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
328	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
329	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
330	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
331	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
332	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
333	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
334	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
335	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
336	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
337	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
338	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
339	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
340	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
341	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
342	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
343	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
344	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
345	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
346	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
347	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
348	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
349	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
350	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
351	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
352	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
353	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
354	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
355	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
356	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
357	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
358	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
359	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
360	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
361	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
362	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
363	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
364	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
365	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
366	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
367	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
368	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
369	26.0	1.0	1.0	0.0	0.0	0.0	0.0	
370	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
371	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
372	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
373	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
374	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
375	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
376	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
377	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
378	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
379	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
380	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
381	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
