Sample	cat16-73.trees	cat16-73.sequence07_sequence13_sequence16_sequence09_sequence10_sequence15	cat16-73.sequence13_sequence16_sequence02_sequence09_sequence15	cat16-73.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-73.sequence07_sequence02_sequence10	cat16-73.sequence01_sequence04_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-73.sequence05_sequence14_sequence11_sequence12_sequence06_sequence08	cat16-73.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
177	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
178	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
179	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
180	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
181	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
182	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
183	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
184	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
185	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
186	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
187	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
188	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
189	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
190	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
191	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
192	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
193	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
194	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
195	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
196	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
197	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
198	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
199	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
200	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
201	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
