Sample	cat16-90.trees	cat16-90.sequence14_sequence09_sequence06	cat16-90.sequence04_sequence14_sequence11_sequence03_sequence10	cat16-90.sequence04_sequence11_sequence09_sequence03_sequence10_sequence06	cat16-90.sequence04_sequence14_sequence11_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-90.sequence01_sequence05_sequence07_sequence12_sequence13_sequence16_sequence02	cat16-90.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	cat16-90.sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06	cat16-90.sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-90.sequence05_sequence07_sequence13_sequence08_sequence15	cat16-90.sequence01_sequence04_sequence14_sequence11_sequence12_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-90.sequence01_sequence04_sequence14_sequence11_sequence12_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	
90	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
91	30.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
92	30.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
93	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
94	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
95	30.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
96	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
97	30.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
98	28.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
99	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
100	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
101	30.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
102	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
103	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
104	30.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
105	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
106	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
