Sample	cat16-34.trees	cat16-34.sequence01_sequence04_sequence11_sequence13_sequence10	cat16-34.sequence05_sequence11_sequence09_sequence03_sequence08_sequence15	cat16-34.sequence12_sequence06	cat16-34.sequence07_sequence16	cat16-34.sequence12_sequence02	cat16-34.sequence02_sequence06	cat16-34.sequence01_sequence05_sequence04_sequence13_sequence09_sequence03_sequence10_sequence08_sequence15	
183	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
184	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
185	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
186	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
187	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
188	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
189	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
190	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
191	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
192	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
193	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
194	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
195	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
196	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
197	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
198	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
199	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
200	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
201	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
202	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
203	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
204	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
205	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
206	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
207	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
208	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
209	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
210	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
211	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
212	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
213	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
214	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
215	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
216	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
217	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
218	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
219	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
220	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
221	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
222	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
223	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
224	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
225	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
