Sample	cat16-93.trees	cat16-93.sequence05_sequence04_sequence07_sequence03	cat16-93.sequence05_sequence04_sequence11_sequence13_sequence03	cat16-93.sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-93.sequence07_sequence11_sequence13	cat16-93.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-93.sequence01_sequence14_sequence16_sequence10_sequence08_sequence15	
223	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
224	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
225	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
226	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
227	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
228	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
229	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
230	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
231	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
232	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
233	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
234	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
235	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
236	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
237	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
238	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
239	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
240	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
241	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
242	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
243	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
244	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
245	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
246	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
247	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
248	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
249	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
250	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
251	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
252	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
253	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
254	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
255	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
256	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
257	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
258	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
259	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
260	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
261	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
262	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
263	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
264	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
265	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
266	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
267	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
268	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
269	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
270	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
271	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
272	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
273	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
274	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
275	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
276	26.0	0.0	1.0	0.0	0.0	1.0	0.0	
277	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
278	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
279	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
280	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
281	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
282	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
283	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
284	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
285	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
286	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
287	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
288	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
289	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
290	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
291	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
292	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
293	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
294	26.0	0.0	1.0	0.0	0.0	0.0	1.0	
295	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
296	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
297	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
298	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
299	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
300	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
301	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
302	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
303	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
304	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
305	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
306	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
307	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
308	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
309	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
310	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
311	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
312	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
313	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
314	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
315	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
316	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
317	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
318	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
319	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
320	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
321	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
322	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
323	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
324	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
325	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
326	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
