Sample	cat16-14.trees	cat16-14.sequence04_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence10	cat16-14.sequence05_sequence07_sequence16_sequence02_sequence09_sequence06_sequence08	cat16-14.sequence01_sequence04_sequence14_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence13_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence15	cat16-14.sequence14_sequence13	cat16-14.sequence01_sequence15	cat16-14.sequence16_sequence02	cat16-14.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
111	24.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
112	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
113	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
114	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
115	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
116	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
117	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
118	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
119	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
120	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
121	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
122	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
123	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
124	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
125	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
126	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
127	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
128	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
129	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
130	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
131	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
132	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
133	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
134	24.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
135	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
136	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
137	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
138	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
139	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
140	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
141	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
142	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
143	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
144	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
145	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
146	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	
147	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
148	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
149	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
150	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
151	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	
152	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
153	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
154	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
155	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
156	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
157	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
158	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
159	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
160	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
161	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
162	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
163	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
164	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
165	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
166	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
167	30.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
168	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
169	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
170	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
171	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
172	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
173	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
174	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
175	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
176	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
177	30.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
178	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
179	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
180	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
181	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
182	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
183	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
184	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
185	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
186	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
187	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
188	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
189	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
190	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
191	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
192	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
193	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
