Sample	cat16-71.trees	cat16-71.sequence01_sequence11_sequence13_sequence16_sequence09_sequence03_sequence15	cat16-71.sequence05_sequence04_sequence14_sequence07_sequence12_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-71.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	
303	28.0	1.0	0.0	0.0	
304	28.0	1.0	0.0	0.0	
305	30.0	0.0	0.0	1.0	
306	28.0	1.0	0.0	0.0	
307	30.0	0.0	0.0	1.0	
308	30.0	0.0	0.0	1.0	
309	30.0	0.0	0.0	1.0	
310	30.0	0.0	0.0	1.0	
311	30.0	0.0	0.0	1.0	
312	28.0	1.0	0.0	0.0	
313	28.0	1.0	0.0	0.0	
314	30.0	0.0	0.0	1.0	
315	28.0	1.0	0.0	0.0	
316	28.0	1.0	0.0	0.0	
317	28.0	1.0	0.0	0.0	
318	28.0	0.0	1.0	0.0	
319	28.0	1.0	0.0	0.0	
320	28.0	1.0	0.0	0.0	
321	28.0	0.0	1.0	0.0	
322	28.0	1.0	0.0	0.0	
323	30.0	0.0	0.0	1.0	
324	28.0	1.0	0.0	0.0	
325	28.0	1.0	0.0	0.0	
326	28.0	0.0	1.0	0.0	
327	28.0	0.0	1.0	0.0	
328	28.0	1.0	0.0	0.0	
329	28.0	1.0	0.0	0.0	
330	30.0	0.0	0.0	1.0	
331	30.0	0.0	0.0	1.0	
332	28.0	0.0	1.0	0.0	
333	30.0	0.0	0.0	1.0	
334	30.0	0.0	0.0	1.0	
335	30.0	0.0	0.0	1.0	
336	30.0	0.0	0.0	1.0	
337	28.0	1.0	0.0	0.0	
338	28.0	1.0	0.0	0.0	
339	30.0	0.0	0.0	1.0	
340	28.0	1.0	0.0	0.0	
341	30.0	0.0	0.0	1.0	
342	30.0	0.0	0.0	1.0	
343	28.0	0.0	1.0	0.0	
344	30.0	0.0	0.0	1.0	
345	28.0	1.0	0.0	0.0	
346	30.0	0.0	0.0	1.0	
347	30.0	0.0	0.0	1.0	
348	28.0	0.0	1.0	0.0	
349	30.0	0.0	0.0	1.0	
350	28.0	1.0	0.0	0.0	
351	30.0	0.0	0.0	1.0	
352	28.0	0.0	1.0	0.0	
353	28.0	0.0	1.0	0.0	
354	28.0	1.0	0.0	0.0	
355	28.0	1.0	0.0	0.0	
356	30.0	0.0	0.0	1.0	
357	30.0	0.0	0.0	1.0	
358	28.0	1.0	0.0	0.0	
359	28.0	0.0	1.0	0.0	
360	28.0	1.0	0.0	0.0	
361	28.0	0.0	1.0	0.0	
362	30.0	0.0	0.0	1.0	
363	28.0	1.0	0.0	0.0	
364	28.0	0.0	1.0	0.0	
365	30.0	0.0	0.0	1.0	
366	28.0	1.0	0.0	0.0	
367	30.0	0.0	0.0	1.0	
368	30.0	0.0	0.0	1.0	
369	28.0	1.0	0.0	0.0	
370	28.0	1.0	0.0	0.0	
371	30.0	0.0	0.0	1.0	
372	30.0	0.0	0.0	1.0	
373	28.0	1.0	0.0	0.0	
374	28.0	1.0	0.0	0.0	
375	30.0	0.0	0.0	1.0	
376	28.0	0.0	1.0	0.0	
377	28.0	1.0	0.0	0.0	
378	28.0	1.0	0.0	0.0	
379	30.0	0.0	0.0	1.0	
380	30.0	0.0	0.0	1.0	
381	28.0	0.0	1.0	0.0	
382	28.0	1.0	0.0	0.0	
383	30.0	0.0	0.0	1.0	
384	28.0	1.0	0.0	0.0	
385	30.0	0.0	0.0	1.0	
386	30.0	0.0	0.0	1.0	
387	30.0	0.0	0.0	1.0	
388	30.0	0.0	0.0	1.0	
389	30.0	0.0	0.0	1.0	
390	30.0	0.0	0.0	1.0	
391	30.0	0.0	0.0	1.0	
392	30.0	0.0	0.0	1.0	
393	30.0	0.0	0.0	1.0	
394	28.0	1.0	0.0	0.0	
395	28.0	0.0	1.0	0.0	
396	30.0	0.0	0.0	1.0	
397	28.0	1.0	0.0	0.0	
398	30.0	0.0	0.0	1.0	
399	30.0	0.0	0.0	1.0	
400	28.0	1.0	0.0	0.0	
401	28.0	1.0	0.0	0.0	
402	28.0	1.0	0.0	0.0	
403	30.0	0.0	0.0	1.0	
404	28.0	0.0	1.0	0.0	
405	28.0	1.0	0.0	0.0	
406	30.0	0.0	0.0	1.0	
407	28.0	1.0	0.0	0.0	
408	28.0	1.0	0.0	0.0	
409	28.0	1.0	0.0	0.0	
410	28.0	1.0	0.0	0.0	
411	30.0	0.0	0.0	1.0	
412	30.0	0.0	0.0	1.0	
413	30.0	0.0	0.0	1.0	
414	28.0	1.0	0.0	0.0	
415	28.0	1.0	0.0	0.0	
416	30.0	0.0	0.0	1.0	
417	28.0	0.0	1.0	0.0	
418	28.0	0.0	1.0	0.0	
419	30.0	0.0	0.0	1.0	
420	30.0	0.0	0.0	1.0	
421	30.0	0.0	0.0	1.0	
422	30.0	0.0	0.0	1.0	
423	30.0	0.0	0.0	1.0	
424	30.0	0.0	0.0	1.0	
425	28.0	0.0	1.0	0.0	
426	28.0	1.0	0.0	0.0	
427	28.0	0.0	1.0	0.0	
428	30.0	0.0	0.0	1.0	
429	28.0	0.0	1.0	0.0	
430	28.0	0.0	1.0	0.0	
431	30.0	0.0	0.0	1.0	
432	30.0	0.0	0.0	1.0	
433	30.0	0.0	0.0	1.0	
434	28.0	0.0	1.0	0.0	
435	30.0	0.0	0.0	1.0	
436	30.0	0.0	0.0	1.0	
437	28.0	0.0	1.0	0.0	
438	28.0	1.0	0.0	0.0	
439	30.0	0.0	0.0	1.0	
440	28.0	1.0	0.0	0.0	
441	28.0	0.0	1.0	0.0	
442	28.0	1.0	0.0	0.0	
443	28.0	1.0	0.0	0.0	
444	28.0	1.0	0.0	0.0	
445	30.0	0.0	0.0	1.0	
446	30.0	0.0	0.0	1.0	
447	28.0	1.0	0.0	0.0	
448	30.0	0.0	0.0	1.0	
449	28.0	1.0	0.0	0.0	
450	30.0	0.0	0.0	1.0	
451	30.0	0.0	0.0	1.0	
452	30.0	0.0	0.0	1.0	
453	28.0	1.0	0.0	0.0	
454	28.0	1.0	0.0	0.0	
455	28.0	1.0	0.0	0.0	
456	30.0	0.0	0.0	1.0	
457	30.0	0.0	0.0	1.0	
458	30.0	0.0	0.0	1.0	
459	28.0	1.0	0.0	0.0	
460	30.0	0.0	0.0	1.0	
461	28.0	1.0	0.0	0.0	
462	30.0	0.0	0.0	1.0	
463	28.0	1.0	0.0	0.0	
464	30.0	0.0	0.0	1.0	
465	28.0	0.0	1.0	0.0	
466	28.0	1.0	0.0	0.0	
467	28.0	1.0	0.0	0.0	
468	30.0	0.0	0.0	1.0	
469	28.0	1.0	0.0	0.0	
470	28.0	1.0	0.0	0.0	
471	28.0	0.0	1.0	0.0	
472	28.0	0.0	1.0	0.0	
473	28.0	1.0	0.0	0.0	
474	28.0	1.0	0.0	0.0	
475	30.0	0.0	0.0	1.0	
476	28.0	1.0	0.0	0.0	
477	28.0	1.0	0.0	0.0	
478	30.0	0.0	0.0	1.0	
479	30.0	0.0	0.0	1.0	
480	30.0	0.0	0.0	1.0	
481	28.0	0.0	1.0	0.0	
482	28.0	1.0	0.0	0.0	
483	28.0	1.0	0.0	0.0	
484	30.0	0.0	0.0	1.0	
485	28.0	1.0	0.0	0.0	
486	28.0	1.0	0.0	0.0	
487	30.0	0.0	0.0	1.0	
488	28.0	1.0	0.0	0.0	
489	30.0	0.0	0.0	1.0	
490	28.0	1.0	0.0	0.0	
491	30.0	0.0	0.0	1.0	
492	28.0	1.0	0.0	0.0	
493	28.0	0.0	1.0	0.0	
494	28.0	0.0	1.0	0.0	
495	28.0	1.0	0.0	0.0	
496	28.0	1.0	0.0	0.0	
497	28.0	1.0	0.0	0.0	
498	28.0	0.0	1.0	0.0	
499	30.0	0.0	0.0	1.0	
500	30.0	0.0	0.0	1.0	
501	28.0	1.0	0.0	0.0	
502	28.0	1.0	0.0	0.0	
503	30.0	0.0	0.0	1.0	
504	30.0	0.0	0.0	1.0	
505	30.0	0.0	0.0	1.0	
506	30.0	0.0	0.0	1.0	
507	28.0	0.0	1.0	0.0	
508	28.0	0.0	1.0	0.0	
509	30.0	0.0	0.0	1.0	
510	30.0	0.0	0.0	1.0	
511	30.0	0.0	0.0	1.0	
512	30.0	0.0	0.0	1.0	
513	28.0	1.0	0.0	0.0	
514	28.0	1.0	0.0	0.0	
515	30.0	0.0	0.0	1.0	
516	28.0	1.0	0.0	0.0	
517	30.0	0.0	0.0	1.0	
518	30.0	0.0	0.0	1.0	
519	30.0	0.0	0.0	1.0	
520	28.0	0.0	1.0	0.0	
521	30.0	0.0	0.0	1.0	
522	28.0	1.0	0.0	0.0	
523	30.0	0.0	0.0	1.0	
524	30.0	0.0	0.0	1.0	
525	28.0	0.0	1.0	0.0	
526	28.0	1.0	0.0	0.0	
527	28.0	0.0	1.0	0.0	
528	30.0	0.0	0.0	1.0	
529	28.0	1.0	0.0	0.0	
530	28.0	0.0	1.0	0.0	
531	28.0	1.0	0.0	0.0	
532	30.0	0.0	0.0	1.0	
533	28.0	1.0	0.0	0.0	
534	28.0	1.0	0.0	0.0	
535	28.0	1.0	0.0	0.0	
536	28.0	0.0	1.0	0.0	
537	28.0	0.0	1.0	0.0	
538	28.0	1.0	0.0	0.0	
539	30.0	0.0	0.0	1.0	
540	28.0	1.0	0.0	0.0	
541	28.0	1.0	0.0	0.0	
542	30.0	0.0	0.0	1.0	
543	30.0	0.0	0.0	1.0	
544	30.0	0.0	0.0	1.0	
545	30.0	0.0	0.0	1.0	
546	28.0	0.0	1.0	0.0	
547	28.0	0.0	1.0	0.0	
548	28.0	1.0	0.0	0.0	
549	28.0	0.0	1.0	0.0	
550	28.0	1.0	0.0	0.0	
551	28.0	1.0	0.0	0.0	
552	30.0	0.0	0.0	1.0	
553	28.0	0.0	1.0	0.0	
554	30.0	0.0	0.0	1.0	
555	30.0	0.0	0.0	1.0	
556	28.0	1.0	0.0	0.0	
557	30.0	0.0	0.0	1.0	
558	30.0	0.0	0.0	1.0	
559	28.0	0.0	1.0	0.0	
560	28.0	0.0	1.0	0.0	
561	30.0	0.0	0.0	1.0	
562	28.0	0.0	1.0	0.0	
563	30.0	0.0	0.0	1.0	
564	30.0	0.0	0.0	1.0	
565	28.0	1.0	0.0	0.0	
566	28.0	1.0	0.0	0.0	
567	28.0	1.0	0.0	0.0	
568	28.0	0.0	1.0	0.0	
569	30.0	0.0	0.0	1.0	
570	30.0	0.0	0.0	1.0	
571	30.0	0.0	0.0	1.0	
572	28.0	1.0	0.0	0.0	
573	30.0	0.0	0.0	1.0	
574	30.0	0.0	0.0	1.0	
575	28.0	1.0	0.0	0.0	
576	28.0	1.0	0.0	0.0	
577	28.0	1.0	0.0	0.0	
578	28.0	0.0	1.0	0.0	
579	28.0	0.0	1.0	0.0	
580	30.0	0.0	0.0	1.0	
581	28.0	0.0	1.0	0.0	
