Sample	cat16-9.trees	cat16-9.sequence01_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10	cat16-9.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-9.sequence14_sequence02_sequence03_sequence06_sequence15	cat16-9.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence08	
247	30.0	1.0	0.0	1.0	0.0	
248	30.0	1.0	0.0	1.0	0.0	
249	30.0	1.0	0.0	1.0	0.0	
250	28.0	1.0	0.0	0.0	1.0	
251	30.0	1.0	0.0	1.0	0.0	
252	28.0	1.0	0.0	0.0	1.0	
253	30.0	1.0	0.0	1.0	0.0	
254	28.0	1.0	0.0	0.0	1.0	
255	28.0	1.0	0.0	0.0	1.0	
256	30.0	1.0	0.0	1.0	0.0	
257	28.0	1.0	0.0	0.0	1.0	
258	28.0	1.0	0.0	0.0	1.0	
259	28.0	1.0	1.0	0.0	0.0	
260	28.0	1.0	0.0	0.0	1.0	
261	30.0	1.0	0.0	1.0	0.0	
262	30.0	1.0	0.0	1.0	0.0	
263	30.0	1.0	0.0	1.0	0.0	
264	30.0	1.0	0.0	1.0	0.0	
265	28.0	1.0	0.0	0.0	1.0	
266	28.0	1.0	0.0	0.0	1.0	
267	30.0	1.0	0.0	1.0	0.0	
268	30.0	1.0	0.0	1.0	0.0	
269	30.0	1.0	0.0	1.0	0.0	
270	28.0	1.0	0.0	0.0	1.0	
271	28.0	1.0	1.0	0.0	0.0	
272	30.0	1.0	0.0	1.0	0.0	
273	30.0	1.0	0.0	1.0	0.0	
274	30.0	1.0	0.0	1.0	0.0	
275	30.0	1.0	0.0	1.0	0.0	
276	28.0	1.0	0.0	0.0	1.0	
277	28.0	1.0	0.0	0.0	1.0	
278	30.0	1.0	0.0	1.0	0.0	
279	28.0	1.0	1.0	0.0	0.0	
280	30.0	1.0	0.0	1.0	0.0	
281	30.0	1.0	0.0	1.0	0.0	
282	30.0	1.0	0.0	1.0	0.0	
283	28.0	1.0	1.0	0.0	0.0	
284	30.0	1.0	0.0	1.0	0.0	
285	30.0	1.0	0.0	1.0	0.0	
286	30.0	1.0	0.0	1.0	0.0	
287	30.0	1.0	0.0	1.0	0.0	
288	30.0	1.0	0.0	1.0	0.0	
289	30.0	1.0	0.0	1.0	0.0	
290	30.0	1.0	0.0	1.0	0.0	
291	28.0	1.0	1.0	0.0	0.0	
292	30.0	1.0	0.0	1.0	0.0	
293	28.0	1.0	0.0	0.0	1.0	
294	30.0	1.0	0.0	1.0	0.0	
295	30.0	1.0	0.0	1.0	0.0	
296	28.0	1.0	1.0	0.0	0.0	
297	28.0	1.0	0.0	0.0	1.0	
298	30.0	1.0	0.0	1.0	0.0	
299	30.0	1.0	0.0	1.0	0.0	
300	30.0	1.0	0.0	1.0	0.0	
301	30.0	1.0	0.0	1.0	0.0	
302	28.0	1.0	1.0	0.0	0.0	
303	28.0	1.0	0.0	0.0	1.0	
304	28.0	1.0	0.0	0.0	1.0	
305	28.0	1.0	0.0	0.0	1.0	
306	30.0	1.0	0.0	1.0	0.0	
307	30.0	1.0	0.0	1.0	0.0	
308	30.0	1.0	0.0	1.0	0.0	
309	30.0	1.0	0.0	1.0	0.0	
310	28.0	1.0	1.0	0.0	0.0	
311	30.0	1.0	0.0	1.0	0.0	
312	30.0	1.0	0.0	1.0	0.0	
313	28.0	1.0	0.0	0.0	1.0	
314	28.0	1.0	0.0	0.0	1.0	
315	28.0	1.0	0.0	0.0	1.0	
316	30.0	1.0	0.0	1.0	0.0	
317	30.0	1.0	0.0	1.0	0.0	
318	30.0	1.0	0.0	1.0	0.0	
319	28.0	1.0	0.0	0.0	1.0	
320	28.0	1.0	1.0	0.0	0.0	
321	28.0	1.0	0.0	0.0	1.0	
322	30.0	1.0	0.0	1.0	0.0	
323	30.0	1.0	0.0	1.0	0.0	
324	30.0	1.0	0.0	1.0	0.0	
325	30.0	1.0	0.0	1.0	0.0	
326	30.0	1.0	0.0	1.0	0.0	
327	30.0	1.0	0.0	1.0	0.0	
328	30.0	1.0	0.0	1.0	0.0	
329	30.0	1.0	0.0	1.0	0.0	
330	30.0	1.0	0.0	1.0	0.0	
331	30.0	1.0	0.0	1.0	0.0	
332	30.0	1.0	0.0	1.0	0.0	
333	28.0	1.0	0.0	0.0	1.0	
334	28.0	1.0	0.0	0.0	1.0	
335	30.0	1.0	0.0	1.0	0.0	
336	28.0	1.0	0.0	0.0	1.0	
337	30.0	1.0	0.0	1.0	0.0	
338	30.0	1.0	0.0	1.0	0.0	
339	30.0	1.0	0.0	1.0	0.0	
340	30.0	1.0	0.0	1.0	0.0	
