Sample	cat16-52.trees	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
222	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
223	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
224	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
225	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
226	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
227	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
228	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
229	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
230	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
231	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
232	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
233	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
234	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
235	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
236	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
237	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
238	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
239	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
240	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
241	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
242	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
243	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
244	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
245	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
246	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
247	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
