Sample	cat16-39.trees	cat16-39.sequence04_sequence11_sequence16_sequence03	cat16-39.sequence01_sequence11_sequence12_sequence13_sequence09_sequence06_sequence08_sequence15	cat16-39.sequence01_sequence04_sequence12_sequence13_sequence16_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-39.sequence05_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence02_sequence10	cat16-39.sequence14_sequence07	cat16-39.sequence12_sequence06	cat16-39.sequence01_sequence12	cat16-39.sequence01_sequence06	
120	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
121	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
122	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
123	24.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
124	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
125	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
126	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
127	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
128	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
129	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
130	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
131	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
132	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
133	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
134	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
135	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
136	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
137	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
138	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
139	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
140	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
141	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
142	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
143	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
144	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
145	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
146	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
147	24.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
148	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
149	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
150	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
151	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
152	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
153	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
154	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
155	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
156	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
157	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
