Sample	cat16-24.trees	cat16-24.sequence01_sequence05_sequence04_sequence14_sequence11_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-24.sequence07_sequence12_sequence09_sequence10_sequence15	cat16-24.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-24.sequence01_sequence04_sequence14_sequence13_sequence06_sequence08	cat16-24.sequence01_sequence05_sequence04_sequence14_sequence11_sequence13_sequence16_sequence03_sequence06_sequence08	cat16-24.sequence07_sequence12_sequence02_sequence09_sequence10_sequence15	cat16-24.sequence01_sequence05_sequence04_sequence14_sequence11_sequence13_sequence16_sequence06_sequence08	cat16-24.sequence01_sequence05_sequence04_sequence14_sequence13_sequence06_sequence08	cat16-24.sequence01_sequence05_sequence04_sequence14_sequence13_sequence03_sequence06_sequence08	cat16-24.sequence11_sequence16_sequence03	cat16-24.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
78	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	
79	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
80	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	
81	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	
82	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	
83	28.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
84	28.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
85	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
86	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
87	30.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
88	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
89	28.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
90	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	
91	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	
