Sample	cat16-57.trees	cat16-57.sequence04_sequence10	cat16-57.sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-57.sequence16_sequence06	cat16-57.sequence16_sequence03	cat16-57.sequence05_sequence04_sequence09_sequence10	cat16-57.sequence07_sequence11_sequence16_sequence02_sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence13_sequence09_sequence10_sequence08_sequence15	
226	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
227	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
228	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
229	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
230	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
231	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
232	28.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
233	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
234	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
235	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
236	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
237	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
238	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
239	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
240	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
241	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
242	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
243	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
244	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
245	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
246	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
247	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
248	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
249	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
250	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
251	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
252	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
253	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
254	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
255	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
256	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
257	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
258	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
259	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
260	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
261	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
262	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
263	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
264	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
265	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
266	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
267	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
268	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
269	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
270	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
271	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
272	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
273	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
274	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
275	28.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
276	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
277	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
278	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
279	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
280	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
281	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
282	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
283	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
284	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
285	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
286	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
287	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
288	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
289	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
290	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
291	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
292	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
293	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
294	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
295	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
296	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
297	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
298	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
299	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
300	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
301	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
302	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
303	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
304	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
305	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
306	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
307	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
308	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
309	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
310	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
311	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
312	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
313	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
314	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
315	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
