Sample	cat16-78.trees	cat16-78.sequence11_sequence16_sequence09_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-78.sequence07_sequence12_sequence06_sequence08	cat16-78.sequence14_sequence08	cat16-78.sequence14_sequence07_sequence12_sequence06_sequence08	cat16-78.sequence01_sequence05_sequence04_sequence14_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-78.sequence11_sequence16_sequence15	
186	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
187	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
188	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
189	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
190	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
191	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
192	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
193	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
194	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
195	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
196	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
197	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
198	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
199	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
200	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
201	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
202	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
203	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
204	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
205	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
206	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
207	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
208	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
209	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
210	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
211	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
212	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
213	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
214	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
215	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
216	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
217	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
218	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
219	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
220	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
221	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
222	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
223	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
224	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
225	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
226	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
227	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
228	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
229	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
230	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
231	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
232	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
233	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
234	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
235	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
236	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
237	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
238	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
239	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
240	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
241	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
242	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
243	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
244	28.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
245	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
246	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
247	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
248	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
249	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
250	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
251	28.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
252	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
253	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
254	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
255	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
