Sample	cat16-27.trees	cat16-27.sequence04_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence14_sequence02_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence16_sequence02_sequence09_sequence10	cat16-27.sequence01_sequence07_sequence03_sequence08	cat16-27.sequence01_sequence07_sequence11_sequence12_sequence13_sequence03_sequence06_sequence08_sequence15	cat16-27.sequence14_sequence16	cat16-27.sequence01_sequence07_sequence12_sequence03_sequence06	
189	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
190	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
191	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
192	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
193	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
194	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
195	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
196	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
197	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
198	26.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
199	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
200	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
201	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
202	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
203	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
204	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
205	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
206	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
207	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
208	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
209	26.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	
210	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
211	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
212	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
213	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
214	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
215	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
216	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
217	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
218	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
219	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
220	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
221	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
222	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
223	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
224	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
225	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
226	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
227	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
228	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
229	26.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
230	28.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	
231	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
232	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
233	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
234	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
235	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
236	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
237	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
238	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
239	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
240	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
241	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
242	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
243	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
244	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
245	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
246	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
247	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
248	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
249	26.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
250	28.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
251	28.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	
252	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
253	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
254	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
255	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
256	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
257	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
258	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
259	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
260	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
261	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
262	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
263	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
264	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
265	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
266	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
267	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
268	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
269	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
270	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
271	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
272	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
273	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
274	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
275	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
276	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
277	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
278	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
279	26.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	
