Sample	cat16-92.trees	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence16_sequence02_sequence03_sequence06	cat16-92.sequence04_sequence14_sequence02_sequence03_sequence10_sequence06	cat16-92.sequence05_sequence11_sequence12_sequence13_sequence16_sequence09_sequence08_sequence15	cat16-92.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-92.sequence01_sequence07_sequence10	cat16-92.sequence04_sequence14_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
219	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
220	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
221	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
222	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
223	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
224	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
225	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
226	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
227	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
228	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
229	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
230	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
231	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
232	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
233	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
234	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
235	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
236	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
237	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
238	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
239	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
240	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
241	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
242	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
243	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
244	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
