Sample	cat16-10.trees	cat16-10.sequence01_sequence04_sequence13_sequence16_sequence15	cat16-10.sequence12_sequence09_sequence06	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
251	30.0	1.0	1.0	0.0	0.0	1.0	
252	28.0	1.0	1.0	0.0	1.0	0.0	
253	28.0	1.0	1.0	0.0	1.0	0.0	
254	30.0	1.0	1.0	0.0	0.0	1.0	
255	30.0	1.0	1.0	0.0	0.0	1.0	
256	30.0	1.0	1.0	0.0	0.0	1.0	
257	28.0	1.0	1.0	0.0	1.0	0.0	
258	30.0	1.0	1.0	0.0	0.0	1.0	
259	30.0	1.0	1.0	0.0	0.0	1.0	
260	28.0	1.0	1.0	0.0	1.0	0.0	
261	30.0	1.0	1.0	0.0	0.0	1.0	
262	30.0	1.0	1.0	0.0	0.0	1.0	
263	28.0	1.0	1.0	0.0	1.0	0.0	
264	30.0	1.0	1.0	0.0	0.0	1.0	
265	30.0	1.0	1.0	0.0	0.0	1.0	
266	28.0	1.0	1.0	0.0	1.0	0.0	
267	28.0	1.0	1.0	0.0	1.0	0.0	
268	28.0	1.0	1.0	0.0	1.0	0.0	
269	28.0	1.0	1.0	0.0	1.0	0.0	
270	30.0	1.0	1.0	0.0	0.0	1.0	
271	30.0	1.0	1.0	0.0	0.0	1.0	
272	28.0	1.0	1.0	0.0	1.0	0.0	
273	28.0	1.0	1.0	0.0	1.0	0.0	
274	30.0	1.0	1.0	0.0	0.0	1.0	
275	28.0	1.0	1.0	1.0	0.0	0.0	
276	28.0	1.0	1.0	0.0	1.0	0.0	
277	30.0	1.0	1.0	0.0	0.0	1.0	
278	30.0	1.0	1.0	0.0	0.0	1.0	
279	30.0	1.0	1.0	0.0	0.0	1.0	
280	30.0	1.0	1.0	0.0	0.0	1.0	
281	28.0	1.0	1.0	0.0	1.0	0.0	
282	28.0	1.0	1.0	0.0	1.0	0.0	
283	28.0	1.0	1.0	0.0	1.0	0.0	
284	28.0	1.0	1.0	1.0	0.0	0.0	
285	30.0	1.0	1.0	0.0	0.0	1.0	
286	30.0	1.0	1.0	0.0	0.0	1.0	
287	28.0	1.0	1.0	0.0	1.0	0.0	
288	28.0	1.0	1.0	0.0	1.0	0.0	
289	30.0	1.0	1.0	0.0	0.0	1.0	
290	30.0	1.0	1.0	0.0	0.0	1.0	
291	30.0	1.0	1.0	0.0	0.0	1.0	
292	28.0	1.0	1.0	1.0	0.0	0.0	
293	30.0	1.0	1.0	0.0	0.0	1.0	
294	30.0	1.0	1.0	0.0	0.0	1.0	
295	30.0	1.0	1.0	0.0	0.0	1.0	
296	30.0	1.0	1.0	0.0	0.0	1.0	
297	30.0	1.0	1.0	0.0	0.0	1.0	
298	28.0	1.0	1.0	0.0	1.0	0.0	
299	30.0	1.0	1.0	0.0	0.0	1.0	
