Sample	cat16-41.trees	cat16-41.sequence09_sequence10	cat16-41.sequence16_sequence09	cat16-41.sequence16_sequence10	
391	28.0	1.0	0.0	0.0	
392	28.0	1.0	0.0	0.0	
393	28.0	0.0	0.0	1.0	
394	28.0	0.0	0.0	1.0	
395	28.0	0.0	0.0	1.0	
396	28.0	0.0	0.0	1.0	
397	28.0	1.0	0.0	0.0	
398	28.0	1.0	0.0	0.0	
399	28.0	1.0	0.0	0.0	
400	28.0	0.0	0.0	1.0	
401	28.0	1.0	0.0	0.0	
402	28.0	0.0	0.0	1.0	
403	28.0	1.0	0.0	0.0	
404	28.0	0.0	0.0	1.0	
405	28.0	1.0	0.0	0.0	
406	30.0	0.0	1.0	0.0	
407	28.0	0.0	0.0	1.0	
408	28.0	0.0	0.0	1.0	
409	28.0	1.0	0.0	0.0	
410	30.0	0.0	1.0	0.0	
411	30.0	0.0	1.0	0.0	
412	30.0	0.0	1.0	0.0	
413	28.0	1.0	0.0	0.0	
414	28.0	1.0	0.0	0.0	
415	28.0	0.0	0.0	1.0	
416	30.0	0.0	1.0	0.0	
417	28.0	0.0	0.0	1.0	
418	28.0	0.0	0.0	1.0	
419	28.0	0.0	0.0	1.0	
420	28.0	0.0	0.0	1.0	
421	28.0	0.0	0.0	1.0	
422	28.0	0.0	0.0	1.0	
423	28.0	0.0	0.0	1.0	
424	30.0	0.0	1.0	0.0	
425	28.0	0.0	0.0	1.0	
426	28.0	0.0	0.0	1.0	
427	28.0	1.0	0.0	0.0	
428	28.0	1.0	0.0	0.0	
429	28.0	1.0	0.0	0.0	
430	28.0	1.0	0.0	0.0	
431	28.0	1.0	0.0	0.0	
432	28.0	0.0	0.0	1.0	
433	28.0	0.0	0.0	1.0	
434	28.0	1.0	0.0	0.0	
435	28.0	0.0	0.0	1.0	
436	28.0	0.0	0.0	1.0	
437	28.0	0.0	0.0	1.0	
438	28.0	0.0	0.0	1.0	
439	28.0	1.0	0.0	0.0	
440	28.0	0.0	0.0	1.0	
441	28.0	0.0	0.0	1.0	
442	28.0	0.0	0.0	1.0	
443	28.0	1.0	0.0	0.0	
444	28.0	1.0	0.0	0.0	
445	28.0	0.0	0.0	1.0	
446	28.0	0.0	0.0	1.0	
447	28.0	1.0	0.0	0.0	
448	28.0	0.0	0.0	1.0	
449	28.0	1.0	0.0	0.0	
450	28.0	1.0	0.0	0.0	
451	28.0	1.0	0.0	0.0	
452	28.0	1.0	0.0	0.0	
453	28.0	1.0	0.0	0.0	
454	28.0	0.0	0.0	1.0	
455	28.0	0.0	0.0	1.0	
456	28.0	0.0	0.0	1.0	
457	28.0	0.0	0.0	1.0	
458	28.0	0.0	0.0	1.0	
459	30.0	0.0	1.0	0.0	
460	28.0	1.0	0.0	0.0	
461	28.0	0.0	0.0	1.0	
462	30.0	0.0	1.0	0.0	
463	28.0	1.0	0.0	0.0	
464	28.0	1.0	0.0	0.0	
465	28.0	1.0	0.0	0.0	
466	28.0	1.0	0.0	0.0	
467	28.0	0.0	0.0	1.0	
468	28.0	0.0	0.0	1.0	
469	28.0	0.0	0.0	1.0	
470	28.0	0.0	0.0	1.0	
471	28.0	0.0	0.0	1.0	
472	28.0	0.0	0.0	1.0	
473	28.0	0.0	0.0	1.0	
474	28.0	0.0	0.0	1.0	
475	28.0	1.0	0.0	0.0	
476	28.0	1.0	0.0	0.0	
477	28.0	0.0	0.0	1.0	
478	30.0	0.0	1.0	0.0	
479	28.0	0.0	0.0	1.0	
480	28.0	1.0	0.0	0.0	
481	28.0	0.0	0.0	1.0	
482	28.0	1.0	0.0	0.0	
483	28.0	1.0	0.0	0.0	
484	28.0	1.0	0.0	0.0	
485	28.0	0.0	0.0	1.0	
486	30.0	0.0	1.0	0.0	
487	28.0	0.0	0.0	1.0	
488	30.0	0.0	1.0	0.0	
489	28.0	0.0	0.0	1.0	
490	30.0	0.0	1.0	0.0	
491	28.0	0.0	0.0	1.0	
492	28.0	1.0	0.0	0.0	
493	30.0	0.0	1.0	0.0	
494	28.0	1.0	0.0	0.0	
495	28.0	1.0	0.0	0.0	
496	30.0	0.0	1.0	0.0	
497	30.0	0.0	1.0	0.0	
