Sample	cat16-52.trees	cat16-52.sequence04_sequence12	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence11_sequence13_sequence02_sequence06_sequence08	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
135	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
136	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
137	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
138	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
139	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
140	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
141	28.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
142	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
143	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
144	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
145	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
146	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
147	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
148	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
149	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
150	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
151	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
152	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
