Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence10_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	
162	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
163	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
164	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
165	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
166	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
167	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
168	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
169	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
170	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
171	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
172	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
173	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
174	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
175	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
176	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
177	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
178	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
179	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
180	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
181	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
182	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
183	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
184	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
185	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
186	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
187	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
188	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
189	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
190	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
191	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
192	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
193	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
194	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
195	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
196	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
197	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
198	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
199	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
200	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
201	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
202	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
