Sample	cat16-91.trees	cat16-91.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence15	cat16-91.sequence01_sequence05_sequence07_sequence09_sequence03_sequence08	cat16-91.sequence14_sequence11	cat16-91.sequence14_sequence11_sequence13_sequence06	cat16-91.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-91.sequence11_sequence06	cat16-91.sequence14_sequence06	
213	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
214	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
215	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
216	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
217	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
218	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
219	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
220	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
221	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
222	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
223	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
224	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
225	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
226	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
227	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
228	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
229	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
230	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
231	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
232	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
233	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
234	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
235	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
236	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
237	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
238	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
239	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
240	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
241	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
242	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
243	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
244	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
245	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
246	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
247	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
248	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
249	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
250	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
251	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
252	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
253	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
254	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
255	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
256	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
257	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
258	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
259	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
260	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
261	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
262	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
263	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
264	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
265	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
266	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
267	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
268	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
269	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
270	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
271	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
272	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
273	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
274	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
275	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
276	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
277	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
278	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
279	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
280	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
281	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
282	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
283	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
284	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
285	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
286	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
287	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
288	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
289	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
290	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
291	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
292	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
293	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
294	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
295	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
296	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
297	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
298	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
299	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
300	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
301	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
302	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
303	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
304	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
305	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
306	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
307	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
308	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
309	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
310	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
311	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
312	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
313	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
314	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
315	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
316	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
317	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
318	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
319	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
320	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
321	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
322	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
323	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
324	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
325	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
326	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
327	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
328	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
329	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
330	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
331	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
332	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
333	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
334	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
335	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
336	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
337	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
338	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
339	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
340	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
341	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
342	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
343	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
344	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
345	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
346	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
347	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
348	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
349	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
350	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
351	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
352	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
353	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
354	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
355	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
356	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
357	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
358	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
359	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
360	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
361	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
362	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
363	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
364	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
365	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
366	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
367	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
368	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
