Sample	cat16-90.trees	cat16-90.sequence04_sequence14_sequence11_sequence03_sequence10	cat16-90.sequence14_sequence09_sequence06	cat16-90.sequence04_sequence14_sequence11_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-90.sequence04_sequence11_sequence09_sequence03_sequence10_sequence06	cat16-90.sequence12_sequence16	cat16-90.sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-90.sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06	cat16-90.sequence05_sequence07_sequence13_sequence08_sequence15	
307	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
308	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
309	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
310	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
311	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
312	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
313	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
314	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
315	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
316	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
317	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
318	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
319	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
320	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
321	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
322	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
323	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
324	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
